# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 8332
62871 -5.99416006016 -0.694187477736 -9.30654273276 245 245 247 2.51102699467 78 12679
62867 -16.8842491314 -1.47046294815 -10.8827610302 53 53 41 2.35566331802 78 10729
62865 -10.4088165761 -4.71702018327 -1.06086130696 255 255 255 2.4803959291 78 10306
62863 -13.4113777358 -4.59462905153 -12.5376344147 0 0 0 3.81873890532 78 8625
62859 -6.74826469729 -0.948923139138 -9.66300871559 56 59 57 0.833739904671 78 12167
62858 -8.65605226666 -1.25834981648 -3.73358528507 31 32 24 1.23171463675 78 2509
62857 -8.05720181596 -1.85495909172 -9.29852432086 204 204 203 1.51780089659 78 6251
62850 -15.602458841 -2.0614357759 -12.8112395204 69 70 72 1.40805632937 78 13097
62848 -11.2286864063 -4.8506117096 -1.23013535016 167 168 154 0.997624665944 78 12916
62841 -13.8178150102 -5.35202691425 -13.2967557561 0 0 0 0.712930826774 78 12588
62839 -15.7098857746 -1.66858477621 -9.3470933098 93 91 76 1.668195962 78 11635
62837 -6.42799793506 -0.398139855827 -9.97013615605 46 47 43 1.61009189315 78 11585
62834 -8.46749294512 -2.63465557854 -3.73083470193 0 0 0 0.616624359333 78 11465
62833 -8.46749294512 -2.63465557854 -3.73083470193 0 0 0 0.616624359333 78 11464
62829 -12.3765525688 -1.09424298402 -12.1671937725 232 235 236 1.34631781977 78 10667
62828 -13.7143366446 -1.44767849747 -12.5933213855 247 251 254 1.06060590226 78 10660
62821 -15.5166550261 -1.30827465127 -10.4986760395 83 80 65 1.98596795879 78 9289
62819 -15.2326813669 -1.5829506148 -10.4016504617 69 68 54 0.781886195425 78 6773
62814 -13.4776678475 -4.33417700543 -12.1575418003 253 254 255 1.11061466708 78 8691
62805 -16.3443992493 -1.39617079131 -11.1818241673 73 68 59 1.84775198515 78 6826
62800 -8.25932583465 -1.8540977782 -9.08438392964 255 255 255 0.595930598379 78 6276
62788 -7.26267407118 -3.46806347521 -8.83972797161 185 189 175 0.70428264814 78 374
62704 0.160365064401 0.670312953759 0.180431895295 20 23 23 1.9779196216 1 6083
62532 -10.8865755791 1.86883988675 -8.44898691761 7 10 6 2.32319895603 78 9758
62530 -11.0736625295 1.57889381828 -8.87986883596 19 25 16 2.52343718311 78 12778
62527 -15.3289851622 -1.87575762576 -10.4785222757 94 86 70 0.906944594698 78 13106
62526 -15.3289851622 -1.87575762576 -10.4785222757 94 86 70 0.906944594698 78 13105
